aircraft_id,aircraft_model,aircraft_manufacturer,seat_capacity
70dcd20f5b703a70f44c3b46deeda13b,Boeing 737,Boeing,189
9e5f60f366bc95550263a9e157708269,Boeing 777-300,Boeing,396
84ac5a6e67c7d627f1d045ed890e3d4a,Boeing 787,Boeing,242
2ed1b0efb7823f53efafe0b624c5957a,Boeing 737-80,Boeing,189
d9380805ef01d041fc3be47c1816c530,Boeing 777-3ER,Boeing,396
acd80b7cf0b28a29acd865cc3146f7da,Boeing 737-900MAX,Boeing,189
939ea284b4df5bf81b34b04755f62602,Boeing 737-8AL,Boeing,189
437efe617d29944eff60791fb871c6fe,Boeing 787-MAX8,Boeing,242
7cd2fbe103d7910bd551f82b5ebec791,Boeing 777-333ER,Boeing,396
e18ea722cfcefcbf1d7ae4e368c49712,Boeing 757-200,Boeing,200
d53033fc073b375a15c8a131c7be7dbd,Boeing 789,Boeing,296
d052b69eadf3c0acc4f61e52aef4c021,Boeing 737-800ANDBOEING,Boeing,189
de748fb94aaab9b29d0b564ae1290858,Boeing 737-88L,Boeing,189
bb72c4490fe66aa590a641899dbca27b,Boeing 777-300RR,Boeing,396
f0703cb723811a826693035933ba503a,Boeing 777-300AND,Boeing,396
ce3213852f93df6b0668839eb782172a,Boeing 767-330,Boeing,216
816a0ff5c76d3f2358d12933b33bb8fa,Boeing 777-260LR,Boeing,396
710ac898190b0189b5230bd043408991,Boeing 777-300E,Boeing,396
de806cc007aa37bbc01670b4ea48769c,Boeing 737-800WINGLET,Boeing,189
225cefc9a51c885dd5c4712dcf6b8dff,Boeing 737-600ANDBOEING,Boeing,189
69bcb9470226664b43106d0f6d71534b,Boeing 773,Boeing,
b04989973533e3d4be4249f40a97cdf3,Boeing 797-9,Boeing,
ddaeff732ee4b5d9250bc4ecff0f2464,Boeing 767-400,Boeing,216
7ea083463fdca3acc2c15f2d43cf91d8,Boeing 777-200ER,Boeing,396
ba20104b259525a909c5d6b93dc21e4e,Embraer 170,Embraer,76
262febb93a9aaaafb3bcbd87be437f56,Boeing 787-9DREAMLINER,Boeing,242
49ae57a6d9402ee51f077aebbf58ae45,Boeing 777-300ERAND,Boeing,396
e30935a859a7ad5111f576351f8a59ae,Boeing 777-300C,Boeing,396
6c1252d6207f9191b7778e758e6e330d,Boeing 757-208,Boeing,200
f33d0b96a5e258adff6ba303c5e87d57,ATR 42,ATR,
a31a0397d9c071f9cb60e4409aec4b5e,Airbus A351,Airbus,
8a0976fe1fd539d9dbca24b57f77a5b1,Airbus A350-900,Airbus,300
00f0c403944fc7bb7cf2eaff2ae12d02,Airbus A330neo,Airbus,277
79aa20a27964770c6cd3265b9c9dae94,Boeing 737-700ANDBOEING,Boeing,189
bb0a557cfbe72cfe1ccb94e7371c0bc8,Boeing 777-300LR,Boeing,396
1a71883ccd2fe47dddea8c6bb7d47875,Boeing 757-200ANDBOEING,Boeing,200
61b409819fe19b7dd42fcedaa732c81a,Boeing 777-300BR,Boeing,396
3933e61b760f2c2183addbd7045b2f6b,Boeing 777-200AND,Boeing,396
13522d57a6da9056956b749c1f25f9b4,Boeing 777-236ER,Boeing,396
82739b254fb286fc9ee810cdb87db8c3,Boeing 777-3DZ,Boeing,396
f78b0a7fcc209c126e78561878b58e70,Boeing 777-200ERAIRBUS,Boeing,396
5d1a2336269cab5f803940cf319a5760,Boeing 747-400ANDBOEING,Boeing,467
20fbcf09b8696b2e3f4be59f342b1808,Boeing 737-924,Boeing,189
21cabb12bd9f7d3257322a7ab1a8c0a6,Boeing 767-332ER,Boeing,216
3054a45a14f078bae8351a7d7e73e904,Boeing 777-367,Boeing,396
c3e53054ebd7d55635e6dbe351e00bc6,Boeing 737-900AND,Boeing,189
90755ac71ff7baaa4872e4453cf6f7e9,Boeing 777-36N,Boeing,396
5b223d240dd8d2a81232c512dc67ac94,Embraer 175,Embraer,
a63846cd154ce297bcd9be1bb3f769e5,Boeing 738-8,Boeing,
c0519eb7ee5c677d86e1e1552ce37ed8,Boeing 753,Boeing,
9459fdcc036388ddcf9beb5eab60469a,Boeing 770,Boeing,
b11fc7f3a6aac78011a51b71e9d0318f,Boeing 777-300R,Boeing,396
4f2485ba23fae8e0546de0f168a2f072,Saab 2000,Saab,50
8c55384af277ff105976fc8856db0515,Boeing 767-300ER,Boeing,216
40c07d7ca3a6be9fb644642bc607b70f,Boeing 737-500,Boeing,189
2593206f7cf4bb1ee251e786b5f04433,Boeing 737-MAX8,Boeing,189
4f4d6bfd26144197af8fabf47454a9cc,Boeing 777-300CARIBBEAN,Boeing,396
b96c723d5770a88364bb5df2dfb38e8c,Boeing 737-932ER,Boeing,189
46c769938d61d828a4df87c035730bb0,Boeing 767-233ER,Boeing,216
54ed43a90094c38064678d2f5602ed64,Boeing 787-9AND,Boeing,242
e53445ab801c343d7f54e6fd0c45c624,Boeing 767-600,Boeing,216
b94c04ea9e2bf671ea5e728239a55203,Boeing 777-200R,Boeing,396
fe3015b7bd3d44b51297d8e6f8fcd29c,Boeing 777-35E,Boeing,396
e487645a0069c7e7729de1bde4823aad,Boeing 777-30,Boeing,396
5c36e2c94afac619380ab9e5274958aa,Boeing 737-800WL,Boeing,189
49b38697819c68f654202f6b954837f2,Boeing 777-368,Boeing,396
e3bb00c62deed12c9962daacd30e5c92,Boeing 717,Boeing,
ecbd97d8048839b3405b9c5dea180c48,Boeing 788,Boeing,
d2332b28b784713b83a1e8db92ed8872,Boeing 717-200,Boeing,
2d4ed7be5c285b15638df6467ea11aa4,Embraer 145,Embraer,
db27872b8b70207712bc8a91f5f60115,Airbus A319,Airbus,134
32fcd25d6f167777bdcb14f99bda0d2c,Boeing 777-31H,Boeing,396
eb29bcf10cf8210c6b2795f636fb2982,Boeing 777-3OO,Boeing,396
9f9a039297645d8860aaab2ec5d16a72,Boeing 747-400AND,Boeing,467
5cef24c505110399a958a03f4aed1c0f,Boeing 777-8,Boeing,396
94b1e6b1b425ce4334a76facebb7fbd4,Boeing 777-200A,Boeing,396
8f0ca7c9350eeff947d991f183094599,Boeing 787-9M,Boeing,242
865433035afd61f43e8465eddbe0b012,Boeing 747-900,Boeing,467
ae99d3a5b1df65a6d8d6390ba82a54f2,Boeing 787-8AND,Boeing,242
e3ccaf41ce6d88dee0d724658c8d56fa,Boeing 747-200,Boeing,467
72255e571c3d12152295478a0e79cb5a,Boeing 777-306ER,Boeing,396
0acaf0631f362e408d469bf88a143fe2,Boeing 700-300,Boeing,
1490be06809e8192678ab8fd03b91836,Boeing 717-209,Boeing,
c87b08de20ff5bd2fa02f8f3ad3ac095,Boeing 757,Boeing,200
86b56f9373e02e84e227b205dbe69368,Boeing 737-MAX,Boeing,189
a5a32b709ae4521a67077d3053675953,Boeing 747-400COMBI,Boeing,467
20834c481525dc21c9731b99d3c20c56,Boeing 777-200LR,Boeing,396
5c3c06f3928d413c502c439f4c7ff16d,Boeing 747-700,Boeing,467
a82eeaeb95334b1d8d19df14ee055256,Boeing 777-200ANDBOEING,Boeing,396
2e6b4fa61618c09c4fc65cc12f37c444,Boeing 737-900ERANDBOEING,Boeing,189
c31aae10f4795c87ddc53f37a29ad568,Boeing 787-9ANDBOEING,Boeing,242
e225f49caf37f61fe12b499eab3b4dc6,Boeing 737-800EI,Boeing,189
8cf63a4b4ecd0ba607c95388829c8001,Boeing 700-300ER,Boeing,
d968d0a063c55ac7b1fb4e6cdbbb9683,Boeing 737-800NG,Boeing,189
1759c2d23520063d7736d0fd1f2f61b3,Boeing 777-200,Boeing,396
8db319016903ceb26e077fa1b01c475f,Boeing 747-400,Boeing,467
5441e70c99efba8a034e6c45cd8f672d,Boeing 737-700,Boeing,189
f3499e98550a09eba4aac2a5d05216b5,Boeing 787-800,Boeing,242
5696d6fb8abeae4cad5782afb84aed50,Boeing 737-8,Boeing,189
81c227ff0df7cb52aef9875b5fb5cfe2,Boeing 787-8DREAMLINER,Boeing,242
725bbf7872640b72e6f00f7b8d45113f,Boeing 787-9DREAMLINERANDBOEING,Boeing,242
61d3fcd0d8a3862368834a3256298813,Boeing 777-222ER,Boeing,396
9bfc9d954badf55add186d71390de726,Boeing 737-9ER,Boeing,189
bb7c9d0a14345026fc42293b3d3bb5e0,Boeing 747-10DREAMLINER,Boeing,467
ca68de422cd674eb4caf95164e3880a9,Embraer 135,Embraer,
83f376ad6a72fdd579f9b035b6eba98b,Boeing 738-800,Boeing,
7d2a6eef091cc9c255d13011b2497e9f,Boeing 778,Boeing,
b0573b318c600c0597595d4abc868736,Boeing 778-300,Boeing,
9ac954ea86337c2d2c4b772b4290e069,Airbus A321neo,Airbus,220
ed2f4acdbf645819c9695c296aaa9b18,Airbus A330-200,Airbus,277
222b9706c2d33922ca72fa8c61a294ad,Boeing 737-8JP,Boeing,189
128771e50a4656d3bfe6a0638805ab85,Boeing 737-MAX9,Boeing,189
65a906a908f6f2ccb6f811b1d51d8412,Boeing 747-400C,Boeing,467
8b2e6c9aa6347dc6dd2c1f6adccf6462,Boeing 737-200,Boeing,189
33fa56f8184bf91bdf3fbeeb73864206,Boeing 747-830,Boeing,467
