lounge_id,lounge_name,airport,type_of_lounge
667eb3d8f7db344339fae2abdc5114d2,unknown,New York JFK Airport,First Class
83ea2c418ab1c4c412a70f9fe6cca9fe,unknown,Moscow Domodedovo Airport,Business Class
75e3fd55c90514110a2142a8c2206c5e,Maple Leaf Lounge,Edmonton Airport,Business Class
10f5743b3b2de86a5878afa0d299e417,unknown,Dubai Airport,First Class
19e7153b5c16da755383beb08a940562,Royal Orchid,Kansai International Airport,First Class
55075523df8709f351aa7a7fc6512be8,Clubhouse,London Heathrow Airport,unknown
8d4bbea5f715caddbc3854f0ddc9c975,Virgin Atlantic Heathrow T3,London Heathrow Airport,Business Class
5ffc063eb776c2baed829d2f4da5d1d8,unknown,Bari Palese Airport,Members
71da385d79d38828cbb870c4b835c033,RJ Airlines,Amman Queen Alia Airport,Business Class
465ab69a2f612909e7d719e4baed418f,unknown,Los Angeles LAX Airport,Business Class
0d524404a60ee1273172af82c5a9bac8,Sala Cibeles,Madrid Barajas Airport,Business Class
2098d9d794732f81a2010f5f11c519a3,unknown,Beijing Capital Airport,Business Class
83713037ed80477e090bdb9c33441334,Golden Lounge Domestic,KLIA Kuala Lumpur Airport,Frequent Flyer
c5602411e09e97bb1789b8521cd97730,Terminal 5 South Lounge,London Heathrow Airport,Business Class
f115f8049833c87120fe7954449b048b,Senator lounge,London Heathrow Airport,Business Class
814b2113893b333ce5a052354dd534a8,Senator Gates A,Frankfurt Main Airport,Frequent Flyer
26d64d86c07b106f5e9405623b664e75,unknown,Washington Dulles Airport,First Class
aa480d797ec3e137f5410780567fd26f,Silver Kris Lounge,Melbourne Airport,Business Class
4093ab0ba82741d88d683bbfc901bf9f,Airport First Class Lounge,Xiamen Airport,First Class
a5cd52c9437c1d865a28f7cfccaddcb9,Silver Kris,Singapore Changi Airport,Business Class
926d171cb76d85a67bc1b71a3359cd33,The Club,Atlanta Hartsfield Airport,Business Class
fc85b039d1655f25daa3a5edde2d1eb9,unknown,Orlando Airport,First Class
ead7c371c8975cd8a2f951aa0441aa29,Slow Lounge,Cape Town Airport,Business Class
bd5debce07f5429ee956374cdf4a7a56,Qantas Club,Honolulu Airport,Business Class
e1f83a8803ea6fc875c3fcef9821e132,Gold Lounge,Stockholm Arlanda Airport,Business Class
