aircraft_id,aircraft_model,aircraft_manufacturer,seat_capacity
d9f0203a67a0aec806b5c7eb68dfad83,Boeing 767,Boeing,216
5b3185a3830851e25dd09cf37207a1a8,Boeing 737-800,Boeing,189
8d45c8081724dc016a8fb098556c207e,Boeing 787-9,Boeing,242
eed0cc46106b32489ba7dd5f5fe95051,Boeing 737-900,Boeing,189
965fe130761a72b36358ce934a6183a2,Boeing 737-600,Boeing,189
3a618043e55949086caf0c762ebefa30,Boeing 747-8I,Boeing,467
a224bc44a30c81f2da7124b7a6da76f1,Boeing 737-300,Boeing,189
fa52d4b663fb83a07d1485c0a54e97af,Boeing 744-400,Boeing,416
e96230a81685021e86ac72a047b9a6f1,Airbus A340,Airbus,295
329ad96b7cabc3188a13fe77715e475c,Airbus A330,Airbus,277
819be28c5fdb5b93c994c6b88478e2ba,Boeing 787-8,Boeing,242
96536bdb66e70b895de9089002204abf,Boeing 747-8,Boeing,467
1a9a2f77c18207ccd74fdbf87f2c4dc8,Boeing 747,Boeing,467
d94d2bca679a063f6344e486c135ded2,Airbus A320neo,Airbus,180
3b0a6b5a80e36e36d99ca4d5d189a797,Boeing 787-10,Boeing,242
f0189e724398b03c5bcf0a1c82298952,Boeing 737-8AS,Boeing,189
b7747d9f82d83722960298074788887f,Boeing 767-400ER,Boeing,216
17b41dfba133bc3aea684f22a777c5dd,Airbus A380,Airbus,555
2599e8e0ac467abb0a299b1190a5495f,Boeing 767-300,Boeing,216
d55803e4b6bfaa26ac1c659247f3b1c5,Boeing 757-300,Boeing,200
40eadd6d48e7cd5166de1513a9b4419a,Embraer 190,Embraer,98
f4bb8783ea77d4253e1ec6f1800c6a8a,Boeing 737-900ER,Boeing,189
84ac5a6e67c7d627f1d045ed890e3d4a,Boeing 787,Boeing,242
9e5f60f366bc95550263a9e157708269,Boeing 777-300,Boeing,396
70dcd20f5b703a70f44c3b46deeda13b,Boeing 737,Boeing,189
acd80b7cf0b28a29acd865cc3146f7da,Boeing 737-900MAX,Boeing,189
db27872b8b70207712bc8a91f5f60115,Airbus A319,Airbus,134
8db319016903ceb26e077fa1b01c475f,Boeing 747-400,Boeing,467
1759c2d23520063d7736d0fd1f2f61b3,Boeing 777-200,Boeing,396
d968d0a063c55ac7b1fb4e6cdbbb9683,Boeing 737-800NG,Boeing,189
5441e70c99efba8a034e6c45cd8f672d,Boeing 737-700,Boeing,189
f3499e98550a09eba4aac2a5d05216b5,Boeing 787-800,Boeing,242
1db3f880b72f066eb57dfc219ba4bf53,Boeing 757-200ER,Boeing,200
5696d6fb8abeae4cad5782afb84aed50,Boeing 737-8,Boeing,189
83f376ad6a72fdd579f9b035b6eba98b,Boeing 738-800,Boeing,
e18ea722cfcefcbf1d7ae4e368c49712,Boeing 757-200,Boeing,200
c87b08de20ff5bd2fa02f8f3ad3ac095,Boeing 757,Boeing,200
20834c481525dc21c9731b99d3c20c56,Boeing 777-200LR,Boeing,396
86b56f9373e02e84e227b205dbe69368,Boeing 737-MAX,Boeing,189
a5a32b709ae4521a67077d3053675953,Boeing 747-400COMBI,Boeing,467
9ac954ea86337c2d2c4b772b4290e069,Airbus A321neo,Airbus,220
8b2e6c9aa6347dc6dd2c1f6adccf6462,Boeing 737-200,Boeing,189
bf0cf90b4fbf1c6bdd6f0ee45691ba87,Boeing 777,Boeing,396
d7f8b4d9a34a5db09c99c9cb39fe7734,Boeing 787-900,Boeing,242
ffcae02ec846375c875983262571f8b2,Embraer 195,Embraer,120
2edbf114f84e8d42197ac35fa51441ce,Airbus A318,Airbus,132
7d9ccdddc7c7d9c4218a5dff2e4c3d1c,ATR 72,ATR,
8c55384af277ff105976fc8856db0515,Boeing 767-300ER,Boeing,216
2593206f7cf4bb1ee251e786b5f04433,Boeing 737-MAX8,Boeing,189
40c07d7ca3a6be9fb644642bc607b70f,Boeing 737-500,Boeing,189
d2332b28b784713b83a1e8db92ed8872,Boeing 717-200,Boeing,
e3bb00c62deed12c9962daacd30e5c92,Boeing 717,Boeing,
3aafeede42b891f9880d21454a27f537,Airbus A350,Airbus,300
d455982f5372eddcf3ff2748fc85a199,Airbus A321,Airbus,220
ddaeff732ee4b5d9250bc4ecff0f2464,Boeing 767-400,Boeing,216
7ea083463fdca3acc2c15f2d43cf91d8,Boeing 777-200ER,Boeing,396
ba20104b259525a909c5d6b93dc21e4e,Embraer 170,Embraer,76
f33d0b96a5e258adff6ba303c5e87d57,ATR 42,ATR,
29a03c3d95f97a8ce11727078df23c0b,Boeing 747-400M,Boeing,467
5b223d240dd8d2a81232c512dc67ac94,Embraer 175,Embraer,
83e68972bfdd7a7099112975b2f7a053,Airbus A320,Airbus,180
01a03806d665df9c9b53bd9944b5dca3,Boeing 777-300ER,Boeing,396
ad921d60486366258809553a3db49a4a,unknown,Unknown,
bc087afc8f78f6d89fecb27cead34562,Boeing 777-232ER,Boeing,396
