airline_id,airline_name,airline_name_cleaned
1,AB Aviation,ab aviation
2,AIRDO,airdo
3,AJet,ajet
4,ANA All Nippon Airways,ana all nippon airways
5,ASKY Airlines,asky airlines
6,ATA Airlines,ata airlines
7,Adria Airways,adria airways
8,Aegean Airlines,aegean airlines
9,Aer Lingus,aer lingus
10,Aero VIP,aero vip
11,AeroItalia,aeroitalia
12,Aerocaribbean,aerocaribbean
13,Aeroflot Russian Airlines,aeroflot russian airlines
14,Aerolineas Argentinas,aerolineas argentinas
15,Aerolineas Estelar,aerolineas estelar
16,Aeromar,aeromar
17,Aeromexico,aeromexico
18,Aerosur,aerosur
19,Africa World Airlines,africa world airlines
20,Afriqiyah Airways,afriqiyah airways
21,Aigle Azur,aigle azur
22,Air Algerie,air algerie
23,Air Antilles,air antilles
24,Air Arabia,air arabia
25,Air Astana,air astana
26,Air Austral,air austral
27,Air Bagan,air bagan
28,Air Belgium,air belgium
29,Air Berlin,air berlin
30,Air Botswana,air botswana
31,Air Burkina,air burkina
32,Air Busan,air busan
33,Air Cairo,air cairo
34,Air Cambodia,air cambodia
35,Air Canada,air canada
36,Air Canada rouge,air canada rouge
37,Air Caraibes,air caraibes
38,Air China,air china
39,Air Corsica,air corsica
40,Air Costa,air costa
41,Air Cote d'Ivoire,air cote d'ivoire
42,Air Djibouti,air djibouti
43,Air Dolomiti,air dolomiti
44,Air Europa,air europa
45,Air France,air france
46,Air Greenland,air greenland
47,Air Iceland Connect,air iceland connect
48,Air India,air india
49,Air India Express,air india express
50,Air Italy,air italy
51,Air Juan,air juan
52,Air KBZ,air kbz
53,Air Koryo,air koryo
54,Air Labrador,air labrador
55,Air Macau,air macau
56,Air Madagascar,air madagascar
57,Air Malawi,air malawi
58,Air Malta,air malta
59,Air Mauritius,air mauritius
60,Air Mediterranee,air mediterranee
61,Air Memphis,air memphis
62,Air Moldova,air moldova
63,Air Montenegro,air montenegro
64,Air Namibia,air namibia
65,Air New Zealand,air new zealand
66,Air Niugini,air niugini
67,Air North Yukon's Airline,air north yukon's airline
68,Air Nostrum,air nostrum
69,Air Panama,air panama
70,Air Pegasus,air pegasus
71,Air Premia,air premia
72,Air Rarotonga,air rarotonga
73,Air Senegal,air senegal
74,Air Serbia,air serbia
75,Air Seychelles,air seychelles
76,Air Tahiti Nui,air tahiti nui
77,Air Tanzania,air tanzania
78,Air Transat,air transat
79,Air Vanuatu,air vanuatu
80,Air Zimbabwe,air zimbabwe
81,AirAsia,airasia
82,AirAsia India,airasia india
83,AirAsia Philippines,airasia philippines
84,AirAsia X,airasia x
85,AirAsia Zest,airasia zest
86,AirConnect,airconnect
87,AirSWIFT,airswift
88,Aircalin,aircalin
89,Airlink,airlink
90,Airnorth,airnorth
91,Akasa Air,akasa air
92,Alaska Airlines,alaska airlines
93,Alitalia,alitalia
94,Allegiant Air,allegiant air
95,Alliance Air,alliance air
96,Alliance Airlines,alliance airlines
97,Amaszonas,amaszonas
98,American Airlines,american airlines
99,American Eagle,american eagle
100,American Express Centurion,american express centurion
101,Andes Líneas Aéreas,andes líneas aéreas
102,Arajet,arajet
103,Ariana Afghan Airlines,ariana afghan airlines
104,Arik Air,arik air
105,Arkefly,arkefly
106,Arkia Israeli Airlines,arkia israeli airlines
107,Armenia Air Company,armenia air company
108,Armenian Airlines,armenian airlines
109,Asiana Airlines,asiana airlines
110,Aspire by Swissport,aspire by swissport
111,Atlantic Airways,atlantic airways
112,Atlasglobal,atlasglobal
113,Auric Air,auric air
114,Aurigny Air,aurigny air
115,Austrian Airlines,austrian airlines
116,Avelo Airlines,avelo airlines
117,Avianca,avianca
118,Avianca Brazil,avianca brazil
119,Avianca Ecuador,avianca ecuador
120,Aviator Lounge CPH,aviator lounge cph
121,Avior Airlines,avior airlines
122,Azerbaijan Airlines,azerbaijan airlines
123,Azul Airlines,azul airlines
124,Azur Air Germany,azur air germany
125,BA CityFlyer,ba cityflyer
126,BH Air,bh air
127,Badr Airlines,badr airlines
128,Bahamasair,bahamasair
129,Bamboo Airways,bamboo airways
130,Bangkok Airways,bangkok airways
131,Bassaka Air,bassaka air
132,Batik Air,batik air
133,Beijing Capital Airlines,beijing capital airlines
134,Belavia,belavia
135,Berjaya Air,berjaya air
136,BermudAir,bermudair
137,Bhutan Airlines,bhutan airlines
138,Biman Bangladesh Airlines,biman bangladesh airlines
139,Binter Canarias,binter canarias
140,Blu-express,blu-express
141,Blue Air,blue air
142,Blue Islands,blue islands
143,Blue Panorama Airlines,blue panorama airlines
144,Blue1,blue1
145,Bluebird Airways,bluebird airways
146,Boliviana de Aviacion,boliviana de aviacion
147,BoraJet,borajet
148,Boutique Air,boutique air
149,Braathens,braathens
150,Breeze Airways,breeze airways
151,British Airways,british airways
152,Brussels Airlines,brussels airlines
153,Buddha Air,buddha air
154,Bulgaria Air,bulgaria air
155,Buraq Air,buraq air
