seat_configuration_id,seat_type,seat_layout,seats_per_row
3110759680ea4dc3ec575be71b19207f,Economy Class,3x3x3x;x2x4x2,
6c0a3211a08ed2ba832bad13d3fe6602,Economy Class,3x3x/x2x2,
c5ccbabd3367b18e71d7612c20a2a7fa,Economy Class,2x3x2,7
f6fcea9ad115b77d721a71beb5e6bd6d,Economy Class,2x4x2x/x3x3,
b3d767046e91cd36e25adffa22b591f1,Premium Economy,3x2,5
6fc942c1dbad925f8643be981f55a235,First Class,1x2,3
498196092ce51b64085624fa92a5fd68,World Traveller Plus,2x3x2,7
cd5f1f3bf5b6d3779288e7bc271c32e4,Premium Economy,2x3x2,7
ef7139864bf1caa72f838535ea3db802,Economy Class,3x2,5
fe8ce55958cdd86d683b00a9a307101c,Business Class,2x4x2,8
58712ad684c7225b64dee9916ae6e651,Economy Class,3x3x3x/x3x3,
a95ae6bc764d759bac61dbe5c5f448bc,Business Class,2x2x2,6
f2fa65650acc1a24179faa653c75bf15,First Class,1x2x1,4
d32736e0da51ee77891dbafef4a191e5,First Class,1x1,2
af8446c15c645d19c8644c5aec77aefe,Economy Class,3x4x3x/x2x3x2,
d6df17e33baa4c0dbf7170fb94a221df,Economy Class,2x2,4
952267c2bd9ec44a3618324c71ad86b6,Premium Economy,1x2x1,4
1f329e7e3687b96a5b1f9ac8f9480f7f,Premium Economy,2x3x2xandx2x4x2,
35fc8b9679962c78269cdaf720164594,Economy Class,"2x2,x3x3",
931fbfc9e37dc165c431b1dbf504f6c7,Economy Class,"2x4x2,x3x3x3",
e2d543205df51baee0b58839737f5863,Economy Class,3x4x3,10
8aa1deb18193e09ffebf7587575e05c2,Economy Class,3x5x3,11
4d6b40378bb64b0ab8bfe49a9d86e335,Premium Economy,2x2x2,6
79f08966c4891ecb02f2d5f67cdcc5da,Premium Economy,unknown,
fb5d696eef9ac72b144c04d5d1a70441,Premium Economy,3x3x3,9
de43e22a6bc10c5e9f1bdd3a4822c3e9,Economy Class,1x2,3
3ee0d67f94f4c8325edeb17078db8782,Economy Class,3x4x3x&x3x3x3,
c0c853e9431ce24180ada2557ec2cb2e,Economy Class,aisle,
41dbd8a9a9045eb6bf55240914370964,unknown,3x3x3,9
f57fe2a9e6cb0225cad2412068368b64,Economy Class,3x3x2,8
04a676e2a53fafafc9e7b8258289d4a7,Premium Economy,2x2,4
fd3876ce067f283fd214b5be96556eec,Business Class,3x3,6
001fb89b8e317c40a7ca0d8491d7229f,Business Class,2x2,4
46c003f3432f8c8bd4ea9ecbd3a28b76,Premium Economy,3x3,6
9a251cfbb1b071a334a3e233929f99be,Business Class,1x2x2,5
75920d330cbd47a77f67fd656db59b38,Economy Class,2x4x2x/x2x3x2,
e70581343cc3e02fe41ccf93256bb2fc,First Class,2x2,4
2a8e704968f2b7494d8d273d72e4b3cb,Economy Class,2x3x2x/x3x3x3,
b8db9b0785b7659df8733580d8d8e45c,Business Class,1x2,3
b9215d4eda6c3fce14acc29483fda52f,Economy Class,3x4x3x/x3x3x3,
092663b9d815cfe4eb4db7abb327f10b,Economy Class,2x4x2,8
2ad0711f3fad69ec16a4ebef466b12b7,Economy Class,2x5x2,9
006c0d32edff73e4106af0aa7c9398b6,World Traveller Plus,2x4x2,8
fbb649333c098f069eddfc5fad7dbe24,Business Class,2x1x2,5
46253cc1262f4810d6f371ba37ea1a93,First Class,1x1x1,3
eb488db38ec0a0a54b289501900d7ca9,Economy Class,3x3x3x/x3x4x3,
8d7fd9f7d65865909a0ddb9277a4c600,Premium Economy,2xbyx2,
6b0054f9c1c508b88e18579110ed6d97,Premium Economy,2x3,5
cae8cc6ce8fb7ea834c65e7cf08783da,Economy Class,3x3x3,9
b41d37076d3e79ada3df5974d8dc7dfa,Economy Class,"3x3,x2x2",
40ab8ddee1c094959bdc12a0253a616e,Business Class,1x1x1,3
2c0b86a61c40c1710e3735c5e2442a34,Business Class,1x2x,
475cf071d65ee736c564f6e3c80ccf0e,Premium Economy,3x4x3,10
4cf130fc16b19152b26f52085a183c48,Economy Class,2x2x2,6
bfd52ed8cc76b5a96e036fe347bae816,Economy Class,2x4x2x/x3x3x3,
26eabc6f6413c1e6705981a26c05a7ce,Economy Class,3x4x3x&x2x4x2,
47ca82408bb9c8d9e8dbb4da62bdaeef,Economy Class,3x4x3/2x4x2,
6bed97bb1700afcc89c7e0792f157886,Economy Class,unknown,
047d17da84d2bb645015e15ba702d91f,Premium Economy,2x4x2,8
be40798458577723edd2173d97dede99,Economy Class,2x3,5
2e943065ee8f1242e5c61fa8ada739b5,Business Class,2x3x2,7
332e2c8055549b3b3bd505e7839df994,Economy Class,3x3x3x/x2x4x2,
758070f3110a8e6d5ad3585823c134f5,Economy Class,2xax2,
06e5c5dd56e597a65ec3f915fabe10b4,Premium Economy,premiumxeconomy,
6ea551c2c359743b6dfde4ee4a5a1f42,Premium Economy,242,242
d61f523a6d9aef07f959a839814b899a,unknown,2x4x2,8
cb635502048f164baa083ab244740bef,Economy Class,2x3x3,8
83d4fdaeb1b7468463261320331cec98,Economy Class,3x3,6
142105f1eb2b5aa79886b2bc9fb77369,Business Class,1x2x1,4
75427b614b5e258da70aaa382a56d38f,Economy Class,3x4x3x/x2x4x2,
f39200da3f985953cd11673d6d67fad7,Premium Economy,2x2x2xandx3x3x3,
61e8d22f28696ab5e7139c4ae9da5b8c,First Class,2x2x2,6
